date,close,adjclose
2023-11-20,390.74,385.013
2023-11-21,388.47,382.7763
2023-11-22,390.06,384.343
2023-11-24,389.51,383.8011
2023-11-27,389.17,383.4661
2023-11-28,390.19,384.4711
2023-11-29,389.81,384.0966
2023-11-30,388.83,383.131
2023-12-01,389.94,384.2247
2023-12-04,386.32,380.6578
2023-12-05,387.29,381.6136
2023-12-06,385.05,379.4064
2023-12-07,390.43,384.7076
2023-12-08,392.17,386.4221
2023-12-11,395.52,389.7229
2023-12-12,398.67,392.8268
2023-12-13,403.74,397.8225
2023-12-14,403.39,397.4776
2023-12-15,405.34,399.399
2023-12-18,407.08,401.9147
2023-12-19,409.16,403.9684
2023-12-20,403.08,397.9655
2023-12-21,407.77,402.596
2023-12-22,408.38,403.1982
2023-12-26,410.88,405.6665
2023-12-27,411.50,406.4923
2023-12-28,411.30,406.2947
2023-12-29,409.52,404.5364
2024-01-02,402.59,397.6908
2024-01-03,398.33,393.4825
2024-01-04,396.28,391.4576
2024-01-05,396.75,391.9218
2024-01-08,404.95,400.0221
2024-01-09,405.75,400.8123
2024-01-10,408.50,403.5288
2024-01-11,409.35,404.3685
2024-01-12,409.56,404.5759
2024-01-16,409.52,404.5364
2024-01-17,407.21,402.2545
2024-01-18,412.99,407.9642
2024-01-19,421.18,416.0545
2024-01-22,421.73,416.5979
2024-01-23,423.48,418.3266
2024-01-24,425.83,420.6479
2024-01-25,426.35,421.1617
2024-01-26,423.81,418.6525
2024-01-29,428.15,422.9397
2024-01-30,425.30,420.1244
2024-01-31,416.97,411.8958
2024-02-01,421.88,416.746
2024-02-02,429.01,423.7893
2024-02-05,428.45,423.2361
2024-02-06,427.59,422.3865
2024-02-07,431.99,426.7329
2024-02-08,432.79,427.5233
2024-02-09,437.05,431.7314
2024-02-12,435.34,430.0422
2024-02-13,428.55,423.3348
2024-02-14,433.22,427.948
2024-02-15,434.51,429.2224
2024-02-16,430.57,425.3303
2024-02-20,427.32,422.1198
2024-02-21,425.61,420.4307
2024-02-22,438.07,432.739
2024-02-23,436.78,431.4647
2024-02-26,436.55,431.2374
2024-02-27,437.60,432.2747
2024-02-28,435.27,429.973
2024-02-29,439.00,433.6577
2024-03-01,445.61,440.1873
2024-03-04,444.02,438.6166
2024-03-05,436.05,430.7436
2024-03-06,438.79,433.4502
2024-03-07,445.45,440.0292
2024-03-08,439.02,433.6774
2024-03-11,437.39,432.0673
2024-03-12,443.66,438.261
2024-03-13,440.25,434.8925
2024-03-14,439.14,433.796
2024-03-15,433.92,428.6395
2024-03-18,437.48,432.7276
2024-03-19,438.57,433.8058
2024-03-20,443.77,438.9492
2024-03-21,445.87,441.0265
2024-03-22,446.38,441.5309
2024-03-25,444.76,439.9286
2024-03-26,443.32,438.5042
2024-03-27,444.83,439.9977
2024-03-28,444.01,439.1867
2024-04-01,444.95,440.1165
2024-04-02,441.11,436.3181
2024-04-03,442.10,437.2974
2024-04-04,435.34,430.6108
2024-04-05,440.47,435.6851
2024-04-08,440.60,435.8137
2024-04-09,442.23,437.426
2024-04-10,438.37,433.6079
2024-04-11,445.37,440.5319
2024-04-12,438.27,433.509
2024-04-15,431.06,426.3773
2024-04-16,431.10,426.4169
2024-04-17,425.84,421.2141
2024-04-18,423.41,418.8105
2024-04-19,414.65,410.1456
2024-04-22,418.82,414.2703
2024-04-23,425.07,420.4524
2024-04-24,426.51,421.8767
2024-04-25,424.45,419.8392
2024-04-26,431.00,426.318
2024-04-29,432.75,428.049
2024-04-30,424.59,419.9776
2024-05-01,421.52,416.941
2024-05-02,426.90,422.2625
2024-05-03,435.48,430.7493
2024-05-06,440.25,435.4675
2024-05-07,440.32,435.5368
2024-05-08,440.06,435.2796
2024-05-09,441.02,436.2292
2024-05-10,442.06,437.2578
2024-05-13,443.08,438.2668
2024-05-14,445.93,441.0858
2024-05-15,452.90,447.9801
2024-05-16,451.98,447.0701
2024-05-17,451.76,446.8525
2024-05-20,454.91,449.9683
2024-05-21,455.80,450.8486
2024-05-22,455.71,450.7596
2024-05-23,453.66,448.7318
2024-05-24,457.95,452.9753
2024-05-28,459.68,454.6864
2024-05-29,456.44,451.4816
2024-05-30,451.55,446.6447
2024-05-31,450.71,445.8138
2024-06-03,453.13,448.2076
2024-06-04,454.37,449.4341
2024-06-05,463.53,458.4946
2024-06-06,463.37,458.3364
2024-06-07,462.96,457.9308
2024-06-10,464.83,459.7805
2024-06-11,468.02,462.9358
2024-06-12,474.15,468.9992
2024-06-13,476.72,471.5414
2024-06-14,479.19,473.9845
2024-06-17,485.06,479.7907
2024-06-18,485.21,479.9391
2024-06-20,481.47,476.2397
2024-06-21,480.18,474.9637
2024-06-24,473.96,469.5565
2024-06-25,479.38,474.9261
2024-06-26,480.37,475.9069
2024-06-27,481.61,477.1353
2024-06-28,479.11,474.6586
2024-07-01,481.92,477.4425
2024-07-02,486.98,482.4555
2024-07-03,491.04,486.4778
2024-07-05,496.16,491.5502
2024-07-08,497.34,492.7192
2024-07-09,497.77,493.1452
2024-07-10,502.96,498.287
2024-07-11,491.93,487.3595
2024-07-12,494.82,490.2227
2024-07-15,496.15,491.5403
2024-07-16,496.34,491.7285
2024-07-17,481.77,477.2939
2024-07-18,479.49,475.0351
2024-07-19,475.24,470.8246
2024-07-22,482.32,477.8388
2024-07-23,480.62,476.1546
2024-07-24,463.38,459.0748
2024-07-25,458.27,454.0122
2024-07-26,462.97,458.6686
2024-07-29,463.90,459.5899
2024-07-30,457.53,453.2791
2024-07-31,471.07,466.6933
2024-08-01,459.66,455.3893
2024-08-02,448.75,444.5807
2024-08-05,435.37,431.325
2024-08-06,439.53,435.4464
2024-08-07,434.77,430.7306
2024-08-08,448.07,443.907
2024-08-09,450.41,446.2253
2024-08-12,451.38,447.1862
2024-08-13,462.58,458.2822
2024-08-14,462.73,458.4308
2024-08-15,474.42,470.0122
2024-08-16,475.03,470.6166
2024-08-19,481.27,476.7985
2024-08-20,480.26,475.7979
2024-08-21,482.50,478.0171
2024-08-22,474.85,470.4382
2024-08-23,480.00,475.5403
2024-08-26,475.34,470.9236
2024-08-27,476.76,472.3304
2024-08-28,471.35,466.9707
2024-08-29,470.66,466.2871
2024-08-30,476.27,471.845
2024-09-03,461.81,457.5193
